,,,,,,,,,,,,,,
Annual Visitation Report by Years: 2006 to 2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20By%20Park%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,,,,
,Park Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,2016,Average
,Abraham Lincoln Birthplace NHP,"202,950","200,404","221,111","177,122","163,568","169,515","163,928","241,264","148,605",,,"252,495","194,096"
,Acadia NP,"2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184",,,"3,303,393","2,474,832"
,Adams NHP,"224,880","241,536","253,656","73,339","219,975","336,031","285,501","178,468","183,632",,,"199,301","219,632"
,African Burial Ground NM,,,,"117,113","108,585","77,624","93,234","54,861","56,348",,,"46,526","79,184"
,Agate Fossil Beds NM,"12,997","12,425","12,694","12,509","11,617","11,824","10,504","12,440","13,264",,,"15,555","12,583"
,Alibates Flint Quarries NM,"4,028","2,297","2,918","4,350","3,214","3,383","1,555","4,513","9,492",,,"8,153","4,390"
,Allegheny Portage Railroad NHS,"123,215","113,991","118,931","107,363","118,410","138,864","107,977","172,883","168,433",,,"189,371","135,944"
,Amistad NRA,"1,734,200","1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051",,,"1,164,530","1,523,729"
,Andersonville NHS,"153,686","159,592","136,267","121,535","108,812","122,883","98,771","127,189","136,686",,,"134,216","129,964"
,Andrew Johnson NHS,"43,456","69,433","63,296","60,323","52,322","51,261","42,929","42,863","45,357",,,"45,937","51,718"
,Aniakchak NM & PRES,26,10,14,62,57,19,134,134,153,,,100,71
,Antietam NB,"337,569","352,548","378,966","393,957","384,987","510,921","370,832","337,079","347,180",,,"351,911","376,595"
,Apostle Islands NL,"182,396","162,871","170,202","156,945","176,040","163,419","148,556","290,059","232,662",,,"183,796","186,695"
,Appomattox Court House NHP,"149,255","178,748","185,443","216,220","258,917","320,668","317,660","278,776","412,640",,,"303,139","262,147"
,Arches NP,"860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247",,,"1,585,718","1,126,363"
,Arkansas Post NMEM,"37,230","43,137","32,160","34,712","37,127","39,703","36,420","30,860","38,702",,,"34,405","36,446"
,Arlington House The R.E. Lee MEM,"466,690","518,515","603,773","627,576","576,816","562,772","586,531","671,638","532,050",,,"1,057,500","620,386"
,Assateague Island NS,"2,110,918","2,011,438","2,129,658","2,106,090","2,105,419","2,154,859","2,056,828","2,170,681","2,275,606",,,"2,267,821","2,138,932"
,Aztec Ruins NM,"39,538","38,709","38,234","37,437","41,106","44,744","41,312","44,721","53,165",,,"57,692","43,666"
,Badlands NP,"886,654","845,734","933,918","977,778","870,741","883,406","892,372","868,094","989,354",,,"996,263","914,431"
,Bandelier NM,"224,134","207,656","212,544","234,896","193,914","150,289","126,682","130,106","174,073",,,"198,478","185,277"
,Belmont-Paul Women's Equality NM,,,,,,,,,,,,"2,704","2,704"
,Bent's Old Fort NHS,"23,952","25,001","28,131","29,120","26,842","25,815","23,324","24,555","26,219",,,"31,948","26,491"
,Bering Land Bridge NPRES,796,"1,019","1,054","2,642","1,890","2,642","2,642","2,636","2,642",,,"2,642","2,061"
,Big Bend NP,"364,856","362,512","363,905","372,330","361,862","292,055","316,953","314,102","381,747",,,"388,290","351,861"
,Big Cypress NPRES,"822,864","813,790","812,207","665,523","941,393","882,570","1,007,788","1,192,856","1,112,290",,,"1,102,148","935,343"
,Big Hole NB,"55,415","54,818","49,822","44,771","36,290","35,207","38,092","36,987","39,549",,,"41,795","43,275"
,Big South Fork NRRA,"626,751","675,928","686,747","656,374","606,579","600,161","565,063","599,906","643,135",,,"684,715","634,536"
,Big Thicket NPRES,"95,285","93,634","100,509","140,489","137,722","135,262","120,108","109,956","125,832",,,"192,809","125,161"
,Bighorn Canyon NRA,"213,063","178,533","205,293","258,637","201,010","245,831","241,527","224,083","245,173",,,"259,485","227,264"
,Biscayne NP,"517,442","686,062","437,745","467,612","476,077","495,613","486,848","525,745","508,164",,,"514,709","511,602"
,Black Canyon of the Gunnison NP,"219,576","160,185","171,451","176,344","168,336","192,570","175,852","183,045","209,166",,,"238,018","189,454"
,Blue Ridge PKWY,"17,352,286","16,309,307","15,936,316","14,517,118","15,382,447","15,205,059","12,877,368","13,941,749","15,054,603",,,"15,175,578","15,175,183"
,Bluestone NSR,"48,061","46,942","45,904","37,790","41,670","36,842","36,266","38,450","36,733",,,"34,139","40,280"
,Booker T. Washington NM,"19,410","19,990","21,216","21,665","24,030","24,361","22,103","26,127","27,205",,,"23,440","22,955"
,Boston African American NHS,"265,459","280,279","298,519","333,463","379,906","404,248","386,084","408,641","412,377",,,"414,170","358,315"
,Boston NHP,"2,184,889","2,232,495","2,155,026","2,060,497","2,546,156","2,629,064","2,245,875","2,476,078","2,262,841",,,"2,594,495","2,338,742"
,Brown v. Board of Education NHS,"17,536","16,950","19,228","17,808","16,886","21,101","19,356","26,868","25,338",,,"27,968","20,904"
,Bryce Canyon NP,"1,012,563","1,043,321","1,216,377","1,285,492","1,296,000","1,385,352","1,311,875","1,435,741","1,745,804",,,"2,365,110","1,409,764"
,Buck Island Reef NM,"46,303","46,025","47,341","27,403","28,223","30,436","28,972","34,400","41,936",,,"38,929","36,997"
,Buffalo NR,"1,194,043","1,405,802","1,522,586","1,545,599","1,169,802","1,093,083","1,125,227","1,357,057","1,463,304",,,"1,785,359","1,366,186"
,Cabrillo NM,"739,534","705,331","767,687","763,140","813,351","877,951","856,128","893,434","981,825",,,"959,145","835,753"
,Canaveral NS,"1,038,449","994,453","1,001,665","966,099","1,005,001","994,430","1,133,688","1,451,225","1,689,754",,,"1,629,944","1,190,471"
,Cane River Creole NHP,"30,584","24,587","27,411","25,115","26,996","28,310","25,556","28,981","30,882",,,"26,863","27,529"
,Canyon de Chelly NM,"825,320","835,860","826,425","827,247","828,145","828,523","828,478","827,761","813,686",,,"821,406","826,285"
,Canyonlands NP,"417,560","436,715","436,241","435,908","473,773","452,952","462,242","542,431","634,607",,,"776,218","506,865"
,Cape Cod NS,"4,351,609","4,644,235","4,311,949","4,653,706","4,454,771","4,441,290","4,501,898","4,426,750","4,503,220",,,"4,692,796","4,498,222"
,Cape Hatteras NS,"2,237,378","2,146,392","2,282,543","2,193,292","1,960,711","2,302,040","2,214,565","2,153,350","2,274,635",,,"2,411,711","2,217,662"
,Cape Krusenstern NM,745,"1,575","1,810","2,521","8,668","24,950","18,225",0,0,,,"15,000","7,349"
,Cape Lookout NS,"860,602","486,899","601,954","530,181","508,116","480,294","416,568","430,927","400,413",,,"458,000","517,395"
,Capitol Reef NP,"554,907","604,811","617,208","662,661","668,834","673,345","663,670","786,514","941,029",,,"1,064,904","723,788"
,Capulin Volcano NM,"49,182","45,178","50,935","48,580","46,358","48,710","48,466","50,892","55,506",,,"60,132","50,394"
,Carl Sandburg Home NHS,"28,820","21,233","83,550","86,740","89,721","93,429","81,710","82,377","72,606",,,"80,696","72,088"
,Carlsbad Caverns NP,"409,560","400,381","432,639","428,524","365,000","381,058","388,566","397,309","445,720",,,"466,773","411,553"
,Casa Grande Ruins NM,"76,854","73,763","76,350","77,347","72,308","68,631","65,106","63,698","72,606",,,"75,752","72,242"
,Castillo de San Marcos NM,"632,048","618,769","667,783","708,549","741,042","727,243","778,128","760,708","819,154",,,"854,664","730,809"
,Castle Clinton NM,"3,509,468","3,727,030","4,080,152","4,126,378","3,985,366","3,264,439","2,180,694","4,727,110","4,597,029",,,"4,812,930","3,901,060"
,Catoctin Mountain Park,"591,191","466,926","440,294","385,745","264,460","263,797","175,213","188,170","229,301",,,"221,750","322,685"
,Cedar Breaks NM,"514,871","538,016","492,353","525,831","493,147","631,809","466,450","762,907","793,601",,,"899,676","611,866"
,Cesar E. Chavez NM,,,,,,,"8,157","8,854","10,648",,,"17,216","11,219"
,Chaco Culture NHP,"68,211","37,180","37,376","34,226","39,175","39,044","29,917","38,386","38,914",,,"54,084","41,651"
,Chamizal NMEM,"218,195","197,767","215,852","226,535","113,817","104,148","121,937","108,399","122,431",,,"147,937","157,702"
,Channel Islands NP,"360,806","332,177","348,745","277,515","242,756","249,594","212,029","342,161","324,816",,,"364,807","305,541"
,Charles Pinckney NHS,"41,393","44,072","43,447","44,081","45,254","44,314","47,309","53,486","46,995",,,"53,184","46,354"
,Charles Young Buffalo Soldiers NM,,,,,,,,,"3,993",,,"10,211","7,102"
,Chattahoochee River NRA,"2,836,077","2,826,171","2,830,655","3,011,393","3,161,297","3,168,137","3,039,892","3,119,160","3,173,204",,,"2,736,385","2,990,237"
,Chesapeake & Ohio Canal NHP,"2,809,968","3,111,468","3,751,681","4,111,238","3,937,504","4,712,377","4,941,367","5,066,219","4,798,312",,,"4,813,078","4,205,321"
,Chickamauga & Chattanooga NMP,"991,645","993,535","992,448","991,901","1,036,699","1,032,844","905,984","996,694","1,002,373",,,"1,027,738","997,186"
,Chickasaw NRA,"1,368,806","1,230,609","1,238,484","1,253,637","1,212,139","1,487,039","1,099,669","1,152,083","1,254,105",,,"1,676,421","1,297,299"
,Chiricahua NM,"58,434","56,557","60,851","55,436","37,037","41,159","40,646","45,125","56,960",,,"51,277","50,348"
,Christiansted NHS,"101,522","105,136","114,743","117,214","119,335","126,962","118,638","109,159","116,817",,,"115,446","114,497"
,City of Rocks NRES,"79,533","85,893","96,649","92,484","95,764","98,996","94,906","94,825","105,289",,,"107,865","95,220"
,Clara Barton NHS,"10,106","9,007","10,986","23,741","15,620","25,347","22,737","20,028","2,823",,,0,"14,040"
,Colonial NHP,"3,343,910","3,332,039","3,324,751","3,459,965","3,414,577","3,274,187","3,168,731","3,335,060","3,343,909",,,"3,352,656","3,334,979"
,Colorado NM,"395,260","390,972","400,266","433,561","435,460","454,510","409,351","416,862","588,006",,,"391,075","431,532"
,Congaree NP,"115,524","104,913","122,970","121,208","120,166","109,685","120,340","120,122","87,513",,,"143,843","116,628"
,Coronado NMEM,"71,702","91,028","106,409","136,284","153,042","97,579","92,936","118,838","132,584",,,"136,075","113,648"
,Cowpens NB,"197,255","235,176","224,394","226,868","223,923","231,973","216,239","200,836","206,740",,,"213,299","217,670"
,Crater Lake NP,"468,958","415,686","446,516","448,319","423,551","447,251","523,027","535,508","614,712",,,"756,344","507,987"
,Craters of the Moon NM,"221,672","227,179","194,046","215,698","198,545","197,529","200,525","214,993","246,826",,,"255,436","217,245"
,Cumberland Gap NHP,"994,985","843,893","883,663","918,746","828,947","853,998","768,363","879,934","840,601",,,"820,387","863,352"
,Cumberland Island NS,"72,449","82,812","77,588","91,996","74,279","61,493","51,435","61,401","59,859",,,"61,896","69,521"
,Curecanti NRA,"964,640","1,007,444","953,169","969,549","924,468","862,612","814,163","931,367","944,742",,,"982,498","935,465"
,Cuyahoga Valley NP,"2,486,656","2,828,233","2,589,288","2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612",,,"2,423,390","2,385,862"
,Dayton Aviation Heritage NHP,"54,827","53,292","58,301","63,961","68,048","65,999","59,274","57,565","73,588",,,"95,334","65,019"
,De Soto NMEM,"260,843","265,944","246,608","265,406","355,653","432,981","279,924","342,039","293,647",,,"232,463","297,551"
,Death Valley NP,"704,122","871,938","828,574","984,775","946,867","984,568","951,972","1,101,312","1,154,843",,,"1,296,283","982,525"
,Delaware Water Gap NRA,"4,836,229","5,127,074","5,213,030","5,285,761","4,986,700","4,970,802","4,843,350","4,041,672","3,735,134",,,"3,677,744","4,671,750"
,Denali NP & PRES,"458,308","432,309","358,041","378,855","406,582","388,433","530,922","531,315","560,757",,,"587,412","463,293"
,Devils Postpile NM,"120,758","134,005","110,212","80,349","97,207","87,845","91,794","114,414","140,313",,,"135,404","111,230"
,Devils Tower NM,"322,272","336,303","391,023","436,200","395,203","416,994","417,326","440,875","478,833",,,"496,210","413,124"
,Dinosaur NM,"230,914","201,724","203,862","197,812","213,559","302,858","274,361","250,625","291,799",,,"304,312","247,183"
,Dry Tortugas NP,"60,895","63,947","52,011","53,890","75,171","60,550","58,401","64,865","70,862",,,"73,661","63,425"
,Edgar Allan Poe NHS,"14,258","12,961","17,463","16,584","14,711","19,104","5,884","13,701","13,862",,,"14,827","14,336"
,Effigy Mounds NM,"88,268","68,696","78,177","79,783","82,581","78,540","71,074","77,812","81,901",,,"77,195","78,403"
,Eisenhower NHS,"69,747","70,757","64,212","61,210","58,022","53,286","59,179","58,240","54,377",,,"55,550","60,458"
,El Malpais NM,"110,639","115,066","123,290","134,662","105,356","114,678","137,904","164,063","174,433",,,"157,440","133,753"
,El Morro NM,"51,492","45,178","48,245","52,566","48,332","44,808","40,051","46,256","49,390",,,"59,422","48,574"
,Eleanor Roosevelt NHS,"59,846","53,632","54,393","53,067","50,074","55,049","43,686","60,456","64,791",,,"63,480","55,847"
,Eugene O'Neill NHS,"2,339","2,544","3,783","2,445","2,593","2,789","2,929","3,202","3,942",,,"4,287","3,085"
,Everglades NP,"1,074,764","822,118","900,882","915,538","934,351","1,141,906","1,047,116","1,110,901","1,077,427",,,"930,907","995,591"
,Federal Hall NMEM,"127,432","212,564","204,880","178,749","187,109","167,146","148,647","137,538","172,038",,,"314,531","185,063"
,Fire Island NS,"616,233","604,577","569,667","613,057","519,173","483,334","294,219","384,343","441,899",,,"431,303","495,781"
,First Ladies NHS,"10,881","9,770","10,466","8,766","8,254","9,903","10,068","15,326","12,897",,,"13,378","10,971"
,Flight 93 NMEM,"143,725","136,091","149,668","137,837","265,246","317,926","265,924","284,226","337,217",,,"385,123","242,298"
,Florissant Fossil Beds NM,"55,992","56,988","64,251","65,422","61,289","62,637","58,032","63,297","69,130",,,"73,564","63,060"
,Ford's Theatre NHS,"732,521","335,865","658,271","662,298","642,786","701,542","665,876","655,441","681,537",,,"650,779","638,692"
,Fort Bowie NHS,"10,027","10,095","9,641","9,491","8,429","7,966","8,082","6,964","7,760",,,"8,013","8,647"
,Fort Caroline NMEM,"250,616","279,984","288,606","299,906","326,149","327,339","307,086","187,843","224,418",,,"232,082","272,403"
,Fort Davis NHS,"51,435","49,290","50,968","43,280","35,130","38,136","43,277","49,842","55,955",,,"61,823","47,914"
,Fort Donelson NB,"233,205","208,631","203,456","202,210","257,389","284,762","247,734","262,317","260,744",,,"259,343","241,979"
,Fort Frederica NM,"264,586","248,093","296,117","294,484","293,041","262,235","217,580","228,103","202,191",,,"192,906","249,934"
,Fort Laramie NHS,"40,263","48,297","56,923","57,128","52,916","55,199","54,057","49,038","51,616",,,"57,444","52,288"
,Fort Larned NHS,"30,471","21,483","27,443","29,423","26,704","33,194","27,432","24,607","32,170",,,"31,060","28,399"
,Fort Matanzas NM,"830,672","813,131","793,253","673,700","570,695","497,574","523,694","568,529","622,175",,,"557,810","645,123"
,Fort McHenry NM & HS,"574,924","598,050","605,870","611,582","641,254","744,076","678,431","769,300","617,890",,,"610,987","645,236"
,Fort Necessity NB,"353,296","127,672","197,271","264,450","193,479","187,893","165,159","219,546","280,705",,,"290,021","227,949"
,Fort Point NHS,"1,552,141","1,390,187","1,385,134","1,315,241","1,338,508","1,502,786","1,591,312","1,677,457","1,610,466",,,"2,264,154","1,562,739"
,Fort Pulaski NM,"317,349","352,636","435,661","416,292","408,104","385,751","374,408","387,010","382,945",,,"344,921","380,508"
,Fort Raleigh NHS,"321,717","311,751","338,212","305,711","282,134","281,833","263,598","264,987","289,885",,,"292,367","295,220"
,Fort Scott NHS,"22,314","25,322","28,544","27,635","26,219","25,034","25,773","25,966","25,531",,,"29,291","26,163"
,Fort Smith NHS,"83,850","75,174","63,540","68,678","86,122","87,386","69,584","88,790","111,469",,,"163,636","89,823"
,Fort Stanwix NM,"59,643","71,263","93,170","103,748","102,874","195,057","129,089","60,819","86,678",,,"94,006","99,635"
,Fort Sumter NM,"788,838","744,971","785,604","797,713","857,883","842,027","815,007","828,521","840,711",,,"888,330","818,961"
,Fort Union NM,"10,534","9,171","11,070","10,638","9,575","9,215","8,965","10,934","11,726",,,"11,953","10,378"
,Fort Union Trading Post NHS,"12,405","11,533","15,141","14,458","12,236","12,677","12,908","11,521","13,605",,,"17,502","13,399"
,Fort Vancouver NHS,"682,645","894,417","1,017,326","786,989","710,439","681,404","733,540","803,740","818,672",,,"1,092,031","822,120"
,Fort Washington Park,"324,660","484,202","339,370","352,883","409,381","368,824","443,918","466,078","337,433",,,"560,358","408,711"
,Fossil Butte NM,"19,853","17,727","18,693","19,700","16,552","17,084","17,662","16,623","19,293",,,"20,737","18,392"
,Franklin Delano Roosevelt MEM,"2,751,725","2,622,806","2,591,241","2,238,052","2,309,708","2,764,459","2,837,729","2,938,239","3,290,080",,,"4,360,502","2,870,454"
,Frederick Douglass NHS,"37,468","37,852","43,483","44,699","46,694","53,314","47,625","45,492","53,873",,,"67,387","47,789"
,Frederick Law Olmsted NHS,"2,010","2,969","5,007","3,285","4,022","8,668","6,570","8,667","9,473",,,"8,935","5,961"
,Fredericksburg & Spotsylvania NMP,"469,920","473,841","906,175","899,936","908,836","982,324","880,251","873,328","891,917",,,"969,895","825,642"
,Friendship Hill NHS,"32,576","30,623","31,454","32,562","30,039","34,289","34,372","34,317","34,687",,,"37,847","33,277"
,Gates of the Arctic NP & PRES,"10,942","11,397","9,975","10,840","11,623","10,899","11,012","12,669","10,745",,,"10,047","11,015"
,Gateway NRA,"8,813,204","9,431,021","9,010,522","8,820,757","7,697,727","5,043,863","6,191,246","6,021,713","6,392,565",,,"8,651,770","7,607,439"
,Gauley River NRA,"118,169","112,262","113,185","107,223","109,780","115,283","135,309","117,354","105,374",,,"115,888","114,983"
,General Grant NMEM,"84,171","91,436","100,874","119,665","104,769","92,418","83,440","100,622","95,526",,,"109,151","98,207"
,George Rogers Clark NHP,"114,560","113,688","103,284","118,912","145,596","125,972","128,531","125,218","135,856",,,"126,095","123,771"
,George Washington Birthplace NM,"101,844","99,975","113,083","128,158","130,647","134,824","131,683","131,984","130,952",,,"129,750","123,290"
,George Washington Carver NM,"36,480","40,407","38,899","35,068","30,787","30,425","33,061","41,535","37,745",,,"46,397","37,080"
,George Washington MEM PKWY,"6,837,139","7,009,630","6,938,309","6,925,099","7,417,397","7,425,577","7,360,392","7,472,150","7,286,463",,,"10,323,339","7,499,550"
,Gettysburg NMP,"1,647,745","1,455,951","1,013,002","1,031,554","1,124,659","1,126,577","1,213,349","1,020,702","1,080,185",,,"1,091,320","1,180,504"
,Gila Cliff Dwellings NM,"41,690","38,987","43,016","32,652","25,317","28,637","27,825","31,135","36,518",,,"41,519","34,730"
,Glacier Bay NP & PRES,"438,211","418,911","438,361","444,530","431,986","454,337","500,590","500,727","551,353",,,"520,171","469,918"
,Glacier NP,"2,083,329","1,808,027","2,031,348","2,200,048","1,853,564","2,162,035","2,190,374","2,338,528","2,366,056",,,"2,946,681","2,197,999"
,Glen Canyon NRA,"1,894,114","1,947,507","1,960,345","2,124,467","2,270,817","2,061,328","1,991,924","2,368,452","2,495,093",,,"3,239,525","2,235,357"
,Golden Gate NRA,"14,397,313","14,554,750","15,036,372","14,271,503","14,567,487","14,540,338","14,289,121","15,004,420","14,888,537",,,"15,638,777","14,718,862"
,Golden Spike NHS,"45,088","39,968","45,334","43,561","43,933","42,551","40,704","44,125","59,147",,,"60,027","46,444"
,Governors Island NM,"69,014","205,010","325,840","409,207","402,174","348,249","355,553","698,227","438,613",,,"522,859","377,475"
,Grand Canyon NP,"4,413,668","4,425,314","4,348,068","4,388,386","4,298,178","4,421,352","4,564,840","4,756,771","5,520,736",,,"5,969,811","4,710,712"
,Grand Portage NM,"68,856","77,323","76,025","113,996","97,440","93,156","88,598","88,877","91,751",,,"95,862","89,188"
,Grand Teton NP,"2,588,574","2,485,987","2,580,081","2,669,374","2,587,437","2,705,256","2,688,794","2,791,392","3,149,921",,,"3,270,076","2,751,689"
,Grant-Kohrs Ranch NHS,"17,494","16,633","20,099","22,075","20,293","17,095","18,848","20,565","22,139",,,"23,176","19,842"
,Great Basin NP,"81,364","69,235","84,974","88,870","91,451","94,850","92,893","107,526","116,123",,,"144,846","97,213"
,Great Sand Dunes NP & PRES,"285,121","273,903","289,955","283,284","280,058","254,674","242,841","271,774","299,513",,,"388,308","286,943"
,Great Smoky Mountains NP,"9,372,253","9,044,010","9,491,437","9,463,538","9,008,830","9,685,829","9,354,695","10,099,276","10,712,674",,,"11,312,786","9,754,533"
,Greenbelt Park,"198,237","164,103","188,043","270,661","190,427","145,552","142,742","132,688","135,260",,,"137,900","170,561"
,Guadalupe Mountains NP,"165,110","163,709","198,882","192,210","152,546","159,360","145,670","166,868","169,535",,,"181,839","169,573"
,Guilford Courthouse NMP,"445,752","354,077","290,368","285,444","346,617","313,374","541,581","173,261","222,602",,,"321,796","329,487"
,Gulf Islands NS,"2,034,294","2,054,201","4,132,674","4,283,747","5,501,872","4,973,462","4,837,965","4,455,240","3,976,883",,,"4,771,309","4,102,165"
,Hagerman Fossil Beds NM,"24,779","23,163","27,263","29,795","21,100","23,936","21,008","22,482","24,695",,,"25,982","24,420"
,Haleakala NP,"1,322,817","1,185,068","1,109,104","1,105,606","956,989","1,094,668","785,300","1,142,040","1,216,772",,,"1,263,558","1,118,192"
,Hamilton Grange NMEM,0,690,150,0,"7,817","16,358","20,429","20,943","35,446",,,"85,348","18,718"
,Hampton NHS,"30,062","35,260","39,334","32,153","32,165","37,529","32,262","32,498","34,685",,,"34,942","34,089"
,Harpers Ferry NHP,"249,908","254,162","275,044","268,822","255,348","263,105","255,714","261,202","282,893",,,"335,691","270,189"
,Harry S Truman NHS,"31,092","30,848","28,384","27,670","28,924","31,316","28,977","29,364","32,825",,,"34,616","30,402"
,Hawaii Volcanoes NP,"1,467,779","1,270,538","1,233,105","1,304,667","1,352,123","1,483,928","1,583,209","1,693,005","1,832,660",,,"1,887,580","1,510,859"
,Herbert Hoover NHS,"118,298","142,656","162,886","142,512","134,249","128,812","128,919","139,086","127,154",,,"152,382","137,695"
,Home of Franklin D. Roosevelt NHS,"114,195","124,073","123,033","140,251","125,488","135,746","147,218","179,340","180,405",,,"193,272","146,302"
,Homestead NM of America,"70,216","71,314","71,301","74,314","69,845","103,708","67,396","69,156","78,739",,,"87,755","76,374"
,Hopewell Culture NHP,"30,321","28,130","34,179","33,918","33,834","39,462","32,206","36,432","43,587",,,"58,058","37,013"
,Hopewell Furnace NHS,"56,013","49,328","53,186","55,750","44,873","52,870","46,138","48,105","51,252",,,"54,167","51,168"
,Horseshoe Bend NMP,"73,669","50,719","72,232","67,776","65,892","58,668","55,965","64,359","89,282",,,"83,370","68,193"
,Hot Springs NP,"1,300,152","1,238,147","1,284,707","1,311,807","1,396,354","1,302,505","1,325,719","1,424,484","1,418,162",,,"1,544,300","1,354,634"
,Hovenweep NM,"26,263","25,411","27,855","27,386","25,858","26,710","24,959","26,808","35,117",,,"42,862","28,923"
,Hubbell Trading Post NHS,"69,211","61,955","99,267","80,578","88,231","75,061","75,678","81,475","66,324",,,"67,276","76,506"
,Independence NHP,"3,705,538","4,076,638","3,967,694","3,751,007","3,572,770","3,594,549","3,553,070","3,648,050","4,311,582",,,"5,067,510","3,924,841"
,Indiana Dunes NL,"1,972,344","1,833,596","1,944,568","2,150,345","1,840,513","1,889,381","1,681,695","1,553,372","1,640,195",,,"1,698,223","1,820,423"
,Isle Royale NP,"15,973","14,038","14,653","15,793","15,892","16,663","16,274","14,560","18,684",,,"24,966","16,750"
,James A. Garfield NHS,"19,196","27,289","17,100","24,853","31,499","36,375","21,027","17,956","24,506",,,"45,437","26,524"
,Jean Lafitte NHP & PRES,"303,373","339,821","335,075","391,019","420,366","419,694","400,128","445,524","405,618",,,"438,420","389,904"
,Jefferson NEM,"2,385,387","1,954,810","2,360,109","2,436,110","2,259,020","2,496,726","2,377,258","1,817,091","1,698,656",,,"1,271,855","2,105,702"
,Jewel Cave NM,"105,321","100,481","129,595","103,462","77,146","109,300","98,259","104,348","116,444",,,"137,275","108,163"
